Game_ID,Game,Year,Genre,Publisher,Total_Global_Sales
1,Grand Theft Auto V,2014,Action,Rockstar Games,28.11
2,Call of Duty: Black Ops 3,2015,Shooter,Activision,22.46
3,Call of Duty: WWII,2017,Shooter,Activision,19.63
4,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,19.71
5,MineCraft,2014,Misc,Microsoft Studios,11.76
6,Call of Duty: Advanced Warfare,2014,Shooter,Activision,12.75
7,Battlefield 1,2016,Shooter,Electronic Arts,12.39
8,Fallout 4,2015,Role-Playing,Bethesda Softworks,13.51
9,Call of Duty: Infinite Warfare,2016,Shooter,Activision,13.27
10,FIFA 17,2016,Sports,Electronic Arts,14.65
11,Assassin's Creed: Unity,2014,Action,Ubisoft,7.72
12,Destiny,2014,Shooter,Activision,9.17
13,FIFA 16,2015,Sports,EA Sports,11.47
14,FIFA 18,2017,Sports,EA Sports,14.94
15,Call of Duty: Ghosts,2013,Shooter,Activision,7.24
16,Overwatch,2016,Shooter,Blizzard Entertainment,7.26
17,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,7.07
18,Tom Clancy's The Division,2016,Shooter,Ubisoft,6.96
19,Assassin's Creed Origins,2017,Action,Ubisoft,6.53
20,Madden NFL 16,2015,Sports,EA Sports,5.77
21,Madden NFL 17,2016,Sports,EA Sports,5.72
22,NBA 2K16,2015,Sports,2K Sports,6.39
23,Destiny 2,2017,Shooter,Activision,6.49
24,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,5.51
25,FIFA 15,2014,Sports,EA Sports,8.51
26,Battlefield 4,2013,Shooter,Electronic Arts,6.03
27,NBA 2K17,2016,Sports,2K Sports,5.56
28,NBA 2K18,2017,Sports,2K Sports,5.36
29,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,6.45
30,Madden NFL 18,2017,Sports,EA Sports,4.53
31,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,5.19
32,Far Cry 5,2018,Action,Ubisoft,5.73
33,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,5.23
34,NBA 2K15,2014,Sports,2K Sports,4.23
35,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,7.13
36,Far Cry 4,2014,Shooter,Ubisoft,5.74
37,Watch Dogs,2014,Action-Adventure,Ubisoft,5.96
38,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,4.73
39,Madden NFL 15,2014,Sports,EA Sports,3.85
40,Rise of the Tomb Raider,2015,Adventure,Square Enix,3.65
41,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,5.69
42,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,3.92
43,Doom (2016),2016,Shooter,Bethesda Softworks,4.37
44,Assassin's Creed Syndicate,2015,Action,Ubisoft,5.04
45,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,4.61
46,Rocket League,2016,Sports,505 Games,3.4
47,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,3.43
48,Titanfall 2,2016,Shooter,Electronic Arts,3.09
49,Watch Dogs 2,2016,Action,Ubisoft,4.71
50,FIFA Soccer 14,2013,Sports,EA Sports,4.74
51,Destiny: The Taken King,2015,Shooter,Activision,3.45
52,Battlefield: Hardline,2015,Shooter,Electronic Arts,3.39
53,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,3.19
54,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,3.06
55,Final Fantasy XV,2016,Role-Playing,Square Enix,6.21
56,Mafia III,2016,Action-Adventure,2K Games,3.98
57,Diablo III,2014,Role-Playing,Blizzard Entertainment,3.86
58,Just Cause 3,2015,Action-Adventure,Square Enix,2.99
59,Far Cry: Primal,2016,Action-Adventure,Ubisoft,3.73
60,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,3.33
61,NBA 2K14,2013,Sports,2K Sports,2.48
62,Monster Hunter: World,2018,Action,Capcom,5.6
63,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,2.61
64,Resident Evil VII: Biohazard,2017,Action,Capcom,4.2
65,For Honor,2017,Action,Ubisoft,2.62
66,Dishonored 2,2016,Action,Bethesda Softworks,2.83
67,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,1.49
68,Madden NFL 25,2013,Sports,EA Sports,1.79
69,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,3.87
70,Guitar Hero Live,2015,Music,Activision,2.04
71,Dark Souls III,2016,Role-Playing,Namco Bandai Games,3.21
72,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,1.96
73,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,2.27
74,Minecraft: Story Mode,2015,Adventure,Mojang,1.64
75,Fortnite,2017,Action,Gearbox Software,1.66
76,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,2.36
77,Rock Band 4,2015,Music,Harmonix Music Systems,1.32
78,Need for Speed (2015),2015,Racing,Electronic Arts,3.46
79,The Sims 4,2017,Simulation,Electronic Arts,2.12
80,Need for Speed: Payback,2017,Racing,Electronic Arts,2.91
81,Dead Rising 4,2016,Action-Adventure,Microsoft Studios,0.89
82,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,1.9
83,The Crew,2014,Racing,Ubisoft,2.5
84,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,1.37
85,Need for Speed Rivals,2013,Racing,Electronic Arts,2.87
86,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,2.06
87,The Evil Within,2014,Misc,Bethesda Softworks,2.55
88,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,1.83
89,Borderlands: The Handsome Collection,2015,Shooter,2K Games,1.96
90,Evolve,2015,Shooter,2K Games,1.68
91,WWE 2K18,2017,Sports,2K Sports,1.99
92,Tomb Raider (2013),2014,Action-Adventure,Square Enix,2.17
93,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,1.36
94,WWE 2K16,2015,Sports,Take-Two Interactive,1.92
95,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,2.05
96,WWE 2K15,2014,Sports,2K Sports,1.77
97,EA Sports UFC 2,2016,Sports,EA Sports,1.92
98,NHL 17,2016,Sports,EA Sports,1.12
99,Tekken 7,2017,Fighting,Namco Bandai Games,2.28
100,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,1.68
101,WWE 2K17,2016,Sports,2K Games,1.79
102,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,1.3
103,Just Dance 2015,2014,Music,Ubisoft,0.95
104,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,1.98
105,Alien: Isolation,2014,Adventure,Sega,1.61
106,NHL 16,2015,Sports,EA Sports,1.17
107,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,1.81
108,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,1.7
109,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,1.49
110,Steep,2016,Sports,Ubisoft,1.49
111,Thief 4,2014,Action,Square Enix,1.33
112,Just Dance 2014,2013,Music,Ubisoft,0.95
113,EA Sports UFC,2014,Fighting,Electronic Arts,1.59
114,BioShock The Collection,2016,Shooter,2K Games,1.34
115,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,1.97
116,ARK: Survival Evolved,2017,Action-Adventure,Studio Wildcard,1.27
117,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,1.31
118,Prey (2017),2017,Shooter,Bethesda Softworks,1.49
119,Skylanders: Trap Team,2014,Platform,Activision,0.97
120,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,1.38
121,EA Sports UFC 3,2018,Sports,EA Sports,1.41
122,Rocksmith 2014,2014,Music,Ubisoft,1.1
123,Sniper Elite 3,2014,Shooter,505 Games,1.17
124,NHL 15,2014,Sports,EA Sports,1.04
125,Project CARS,2015,Racing,Bandai Namco Games,1.69
126,Destiny: The Collection,2016,Shooter,Activision,1.19
127,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.85
128,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,1.11
129,NHL 18,2017,Sports,EA Sports,0.96
130,The Evil Within II,2017,Action,Bethesda Softworks,1.44
