Game_ID,PS4_NA_Sales,PS4_EU_Sales,PS4_JP_Sales,PS4_RoW_Sales,PS4_Global_Sales
1,6.06,9.71,0.6,3.02,19.39
2,6.18,6.05,0.41,2.44,15.09
3,4.67,6.21,0.4,2.12,13.4
4,5.26,6.21,0.21,2.26,13.94
5,1.89,3.13,0.35,0.96,6.33
6,2.84,3.34,0.14,1.22,7.53
7,2.2,3.65,0.29,1.12,7.26
8,2.91,3.97,0.27,1.34,8.48
9,3.11,3.83,0.19,1.36,8.48
10,1.26,7.95,0.12,1.61,10.94
11,1.25,2.16,0.09,0.65,4.14
12,2.53,2.13,0.16,0.94,5.76
13,1.15,5.77,0.07,1.23,8.22
14,1.27,8.64,0.15,1.73,11.8
15,1.79,1.64,0.05,0.69,4.17
16,1.84,1.8,0.17,0.73,4.54
17,1.29,2.06,0.36,0.64,4.36
18,1.49,2.04,0.16,0.69,4.37
19,1.22,2.11,0.11,0.63,4.06
20,2.39,0.31,0,0.61,3.3
21,2.3,0.37,0,0.6,3.28
22,2.56,0.66,0.05,0.71,3.98
23,1.92,1.44,0.1,0.69,4.14
24,1.07,1.55,0.06,0.51,3.19
25,0.83,4.49,0.05,0.94,6.32
26,1.4,1.74,0.19,0.62,3.94
27,2.28,0.59,0.03,0.63,3.52
28,2.13,0.57,0.04,0.59,3.34
29,1.7,1.99,0.12,0.73,4.53
30,1.73,0.42,0,0.47,2.62
31,1.24,1.5,0.08,0.54,3.36
32,1.44,1.73,0.15,0.62,3.95
33,1.94,0.94,0,0.61,3.49
34,1.49,0.55,0.01,0.44,2.49
35,1.48,2.82,0.28,0.81,5.39
36,1.18,2.14,0.11,0.63,4.06
37,1.4,2.13,0.11,0.68,4.32
38,1.07,1.35,0.22,0.47,3.12
39,1.58,0.25,0,0.41,2.25
40,0.61,1.08,0.05,0.32,2.07
41,1.65,1.68,0.11,0.66,4.11
42,1.18,0.74,0.13,0.4,2.45
43,0.93,1.48,0.04,0.46,2.92
44,0.9,2.06,0.08,0.55,3.6
45,1.03,1.6,0.05,0.51,3.19
46,0.37,1.34,0,0.31,2.02
47,0.74,0.98,0,0.33,2.05
48,0.75,0.62,0.06,0.28,1.72
49,0.98,1.74,0.12,0.52,3.36
50,0.62,2.18,0.12,0.51,3.43
51,0.97,0.8,0.05,0.36,2.18
52,0.72,0.97,0.14,0.33,2.15
53,0.82,0.84,0.06,0.33,2.04
54,0.59,1,0.01,0.3,1.91
55,1.81,1.53,1.05,0.68,5.07
56,0.72,1.67,0.04,0.44,2.87
57,0.83,1.48,0.08,0.44,2.82
58,0.53,1.07,0.09,0.3,1.98
59,0.63,1.61,0.07,0.41,2.73
60,1.07,0.8,0.08,0.38,2.34
61,0.91,0.35,0.01,0.27,1.54
62,1.03,1.06,2.17,0.42,4.67
63,0.88,0.54,0,0.29,1.72
64,0.88,1.56,0.41,0.46,3.31
65,0.73,0.66,0.07,0.28,1.75
66,0.62,1.02,0.01,0.31,1.97
67,0.22,0.31,0,0.1,0.63
68,0.64,0.15,0,0.17,0.96
69,0.97,1.15,0.5,0.42,3.04
70,0.52,0.49,0,0.2,1.21
71,1,0.63,0.44,0.34,2.42
72,0.41,0.56,0.02,0.19,1.18
73,0.58,0.67,0,0.25,1.49
74,0.31,0.42,0,0.14,0.87
75,0.42,0.32,0,0.15,0.89
76,0.48,0.84,0.03,0.25,1.61
77,0.41,0.06,0,0.1,0.57
78,0.59,1.66,0.06,0.41,2.72
79,0.44,0.72,0.01,0.22,1.39
80,0.62,1.18,0.04,0.34,2.18
81,0.08,0.05,0,0.03,0.16
82,0.48,0.5,0,0.2,1.18
83,0.44,1.04,0.03,0.27,1.79
84,0.24,0.3,0.01,0.11,0.66
85,0.75,1.04,0.03,0.35,2.17
86,0.55,0.58,0.01,0.22,1.36
87,0.56,0.9,0.11,0.28,1.86
88,0.21,0.72,0.04,0.17,1.14
89,0.69,0.34,0.03,0.22,1.28
90,0.38,0.41,0.05,0.16,1.01
91,0.45,0.67,0,0.22,1.33
92,0.47,0.74,0.06,0.23,1.51
93,0.26,0.32,0.01,0.11,0.71
94,0.43,0.65,0,0.21,1.29
95,0.62,0.57,0,0.24,1.43
96,0.4,0.57,0,0.19,1.16
97,0.44,0.65,0,0.21,1.31
98,0.32,0.11,0,0.09,0.52
99,0.6,0.72,0.12,0.26,1.7
100,0.33,0.6,0,0.18,1.11
101,0.32,0.7,0,0.19,1.22
102,0.37,0.25,0,0.13,0.75
103,0.21,0.13,0,0.07,0.41
104,0.61,0.51,0.12,0.23,1.46
105,0.29,0.59,0.05,0.16,1.09
106,0.38,0.16,0,0.12,0.66
107,0.3,0.78,0.02,0.2,1.31
108,0.38,0.59,0.05,0.19,1.2
109,0.31,0.53,0.01,0.16,1.01
110,0.23,0.6,0.02,0.15,1.01
111,0.28,0.41,0.03,0.13,0.85
112,0.21,0.18,0,0.08,0.47
