Publisher_ID,Publisher
1,Rockstar Games
2,Activision
3,Microsoft Studios
4,Electronic Arts
5,Bethesda Softworks
6,Ubisoft
7,EA Sports
8,Blizzard Entertainment
9,2K Sports
10,Warner Bros. Interactive Entertainment
11,Namco Bandai Games
12,Square Enix
13,505 Games
14,2K Games
15,Capcom
16,Konami Digital Entertainment
17,Mojang
18,Gearbox Software
19,Harmonix Music Systems
20,Take-Two Interactive
21,Disney Interactive Studios
22,Sega
23,Studio Wildcard
24,Bandai Namco Games
25,Focus Home Interactive
26,Deep Silver
27,Rebellion Developments
28,Telltale Games
29,Gun Media
30,Codemasters
31,Koch Media
32,Astragon
33,City Interactive
34,Sold Out
35,Tecmo Koei
36,Insomniac Games
37,THQ Nordic
38,Milestone S.r.l.
39,Dusenberry Martin Racing
40,Soedesco
41,Koei Tecmo
42,Bigben Interactive
43,Milestone
44,Milestone S.r.l
45,Frontier Developments
46,Nordic Games
47,PQube
48,Ravenscourt
49,System 3
50,MLB.com
51,Little Orbit
52,Atari
53,Maximum Games
54,Tripwire Interactive
55,GameMill
56,Microids
57,GameTrust
58,Ready at Dawn
59,Paradox InteractiveÊ
60,Nighthawk Interactive
61,GameMill Entertainment
62,Tru Blu Entertainment
63,Devolver Digital
64,Techland
65,Stainless Games
66,Games Workshop
67,Outright Games
68,Kalypso Media
69,Grey Box
70,Team17 Digital Ltd
71,Revolution Software
72,Big Ben Interactive
73,Introversion Software
74,Wired Productions
75,Rebellion
76,Alternative Software
77,Yacht Club Games
78,UIG Entertainment
79,BioWare
80,Unknown
81,Level 5
82,TopWare Interactive
83,Renegade Kid
84,5pb
85,Versus Evil
86,Moss
87,Ice-pick Lodge
88,Sinxsoft
89,Team17 Software
90,Bandai Namco Entertainment
