Game_ID,Xbox_NA_Sales,Xbox_EU_Sales,Xbox_JP_Sales,Xbox_RoW_Sales,Xbox_Global_Sales
1,4.7,3.25,0.01,0.76,8.72
2,4.63,2.04,0.02,0.68,7.37
3,3.75,1.91,0,0.57,6.23
4,3.76,1.47,0,0.54,5.77
5,3.23,1.71,0,0.49,5.43
6,3.25,1.49,0.01,0.48,5.22
7,3.37,1.26,0.02,0.48,5.13
8,2.94,1.62,0.02,0.45,5.03
9,2.91,1.44,0,0.44,4.79
10,1.04,2.4,0,0.27,3.71
11,2.34,0.9,0,0.34,3.58
12,2.17,0.92,0,0.32,3.41
13,0.92,2.1,0,0.24,3.25
14,0.98,1.92,0,0.23,3.14
15,1.92,0.86,0,0.28,3.07
16,1.63,0.84,0,0.25,2.72
17,1.62,0.84,0,0.25,2.71
18,1.54,0.82,0,0.24,2.59
19,1.34,0.92,0,0.22,2.47
20,2.13,0.08,0,0.26,2.47
21,2.14,0.04,0,0.26,2.44
22,2.01,0.15,0,0.25,2.41
23,1.66,0.47,0,0.23,2.35
24,1.51,0.59,0,0.22,2.32
25,0.64,1.39,0,0.16,2.19
26,1.26,0.65,0,0.19,2.09
27,1.7,0.12,0,0.21,2.04
28,1.67,0.14,0,0.21,2.02
29,1.15,0.59,0,0.17,1.92
30,1.63,0.07,0,0.2,1.91
31,1.13,0.53,0,0.17,1.83
32,1.14,0.47,0,0.17,1.78
33,1.34,0.23,0,0.18,1.74
34,1.39,0.18,0,0.18,1.74
35,0.97,0.61,0.01,0.15,1.74
36,0.85,0.68,0.02,0.14,1.68
37,0.91,0.59,0,0.15,1.64
38,0.98,0.48,0,0.15,1.61
39,1.34,0.1,0,0.17,1.6
40,0.61,0.82,0.03,0.12,1.58
41,0.97,0.46,0,0.14,1.58
42,1.01,0.31,0.01,0.14,1.47
43,0.76,0.57,0,0.13,1.45
44,0.71,0.61,0,0.12,1.44
45,0.77,0.52,0.01,0.12,1.42
46,0.52,0.75,0,0.11,1.38
47,0.86,0.39,0,0.13,1.38
48,0.88,0.37,0,0.13,1.37
49,0.71,0.53,0,0.12,1.35
50,0.44,0.78,0,0.1,1.31
51,0.91,0.23,0,0.12,1.27
52,0.73,0.39,0.01,0.11,1.24
53,0.75,0.29,0,0.11,1.15
54,0.61,0.44,0,0.1,1.15
55,0.72,0.3,0.01,0.11,1.14
56,0.54,0.48,0,0.09,1.11
57,0.62,0.32,0,0.09,1.04
58,0.52,0.41,0,0.09,1.01
59,0.51,0.41,0,0.09,1
60,0.63,0.27,0,0.09,0.99
61,0.72,0.12,0,0.09,0.94
62,0.67,0.17,0,0.09,0.93
63,0.65,0.16,0,0.09,0.89
64,0.51,0.3,0,0.08,0.89
65,0.57,0.21,0,0.08,0.87
66,0.47,0.31,0,0.08,0.86
67,0.47,0.32,0,0.08,0.86
68,0.69,0.06,0,0.09,0.83
69,0.49,0.25,0.02,0.07,0.83
70,0.52,0.23,0,0.08,0.83
71,0.56,0.15,0,0.08,0.79
72,0.44,0.27,0,0.07,0.78
73,0.5,0.2,0,0.07,0.78
74,0.46,0.24,0,0.07,0.77
